"","year_month","gender","age","monthly_mean_total_spend_by_agegroup"
"98",2019-05-01,"Female","25 - 34 years",275.259372668701
"99",2019-05-01,"Female","35 - 44 years",344.083393323657
"100",2019-05-01,"Female","45 - 54 years",368.836408539138
"101",2019-05-01,"Female","55 - 64 years",368.875568
"102",2019-05-01,"Female","65 and older",185.134406130268
"103",2019-06-01,"Female","18 - 24 years",203.173922902494
"104",2019-06-01,"Female","25 - 34 years",264.016851724138
"105",2019-06-01,"Female","35 - 44 years",371.670307648885
"106",2019-06-01,"Female","45 - 54 years",356.167752110173
"107",2019-06-01,"Female","55 - 64 years",364.831388679245
"108",2019-06-01,"Female","65 and older",262.099225589226
"109",2019-07-01,"Female","18 - 24 years",305.196658456486
"110",2019-07-01,"Female","25 - 34 years",317.460854944429
"111",2019-07-01,"Female","35 - 44 years",555.509992616293
"112",2019-07-01,"Female","45 - 54 years",420.209844067797
"113",2019-07-01,"Female","55 - 64 years",492.128274278215
"114",2019-07-01,"Female","65 and older",372.788760806916
"115",2019-08-01,"Female","18 - 24 years",310.190453378956
"116",2019-08-01,"Female","25 - 34 years",248.31529467381
"117",2019-08-01,"Female","35 - 44 years",363.610371300949
"118",2019-08-01,"Female","45 - 54 years",401.291580118694
"119",2019-08-01,"Female","55 - 64 years",362.415869726129
"120",2019-08-01,"Female","65 and older",232.177647058824
"121",2019-09-01,"Female","18 - 24 years",260.237259574468
"122",2019-09-01,"Female","25 - 34 years",242.24986645469
"123",2019-09-01,"Female","35 - 44 years",431.185904008726
"124",2019-09-01,"Female","45 - 54 years",321.406894107222
"125",2019-09-01,"Female","55 - 64 years",402.627507911392
"126",2019-09-01,"Female","65 and older",156.897414965986
"127",2019-10-01,"Female","18 - 24 years",302.533065451533
"128",2019-10-01,"Female","25 - 34 years",292.599829361577
"129",2019-10-01,"Female","35 - 44 years",457.06448875803
"130",2019-10-01,"Female","45 - 54 years",385.39061509434
"131",2019-10-01,"Female","55 - 64 years",339.557560283688
"132",2019-10-01,"Female","65 and older",283.473981191223
"133",2019-11-01,"Female","18 - 24 years",284.132327919567
"134",2019-11-01,"Female","25 - 34 years",530.550308871342
"135",2019-11-01,"Female","35 - 44 years",497.192082634228
"136",2019-11-01,"Female","45 - 54 years",516.624392290954
"137",2019-11-01,"Female","55 - 64 years",346.705807860262
"138",2019-11-01,"Female","65 and older",321.665665961945
"139",2019-12-01,"Female","18 - 24 years",432.134609075998
"140",2019-12-01,"Female","25 - 34 years",429.535721979132
"141",2019-12-01,"Female","35 - 44 years",540.978781642985
"142",2019-12-01,"Female","45 - 54 years",672.365508571429
"143",2019-12-01,"Female","55 - 64 years",494.725574406205
"144",2019-12-01,"Female","65 and older",395.979867172676
"145",2020-01-01,"Female","18 - 24 years",244.337790163934
"146",2020-01-01,"Female","25 - 34 years",309.053080229226
"147",2020-01-01,"Female","35 - 44 years",434.865305235716
"148",2020-01-01,"Female","45 - 54 years",359.535415660573
"149",2020-01-01,"Female","55 - 64 years",393.084762206722
"150",2020-01-01,"Female","65 and older",265.699974424552
"151",2020-02-01,"Female","18 - 24 years",308.346455070074
"152",2020-02-01,"Female","25 - 34 years",262.209291611185
"153",2020-02-01,"Female","35 - 44 years",392.294694869925
"154",2020-02-01,"Female","45 - 54 years",389.301784247854
"155",2020-02-01,"Female","55 - 64 years",315.929595202399
"156",2020-02-01,"Female","65 and older",505.908654353562
"157",2020-03-01,"Female","18 - 24 years",310.113312146893
"158",2020-03-01,"Female","25 - 34 years",297.284493359567
"159",2020-03-01,"Female","35 - 44 years",489.094528452049
"160",2020-03-01,"Female","45 - 54 years",546.167997014925
"161",2020-03-01,"Female","55 - 64 years",344.892934210526
"162",2020-03-01,"Female","65 and older",230.374191176471
"163",2020-04-01,"Female","18 - 24 years",347.84747992588
"164",2020-04-01,"Female","25 - 34 years",497.48996757195
"165",2020-04-01,"Female","35 - 44 years",534.222335779816
"166",2020-04-01,"Female","45 - 54 years",433.552230830884
"167",2020-04-01,"Female","55 - 64 years",378.247987261146
"168",2020-04-01,"Female","65 and older",296.999120879121
"169",2020-05-01,"Female","18 - 24 years",332.718829728231
"170",2020-05-01,"Female","25 - 34 years",480.376602290207
"171",2020-05-01,"Female","35 - 44 years",527.334
"172",2020-05-01,"Female","45 - 54 years",477.324155251142
"173",2020-05-01,"Female","55 - 64 years",437.12057271196
"174",2020-05-01,"Female","65 and older",273.363778234086
"175",2020-06-01,"Female","18 - 24 years",369.509837221921
"176",2020-06-01,"Female","25 - 34 years",587.861531907785
"177",2020-06-01,"Female","35 - 44 years",523.337290534979
"178",2020-06-01,"Female","45 - 54 years",508.536854627647
"179",2020-06-01,"Female","55 - 64 years",399.7371875
"180",2020-06-01,"Female","65 and older",330.994150579151
"181",2020-07-01,"Female","18 - 24 years",346.498560490046
"182",2020-07-01,"Female","25 - 34 years",488.620765598651
"183",2020-07-01,"Female","35 - 44 years",467.902143324607
