"","gender","year_month","monthly_spend"
"135","Other",2018-04-01,18.4103618421053
"136","Other",2018-05-01,25.2147333333333
"137","Other",2018-06-01,25.0619565217391
"138","Other",2018-07-01,32.6415277777778
"139","Other",2018-08-01,24.8704571428571
"140","Other",2018-09-01,23.5859485530547
"141","Other",2018-10-01,23.8898168498168
"142","Other",2018-11-01,21.7215909090909
"143","Other",2018-12-01,20.2995512820513
"144","Other",2019-01-01,24.3436666666667
"145","Other",2019-02-01,30.779358974359
"146","Other",2019-03-01,23.721625
"147","Other",2019-04-01,20.0580737704918
"148","Other",2019-05-01,24.8603225806452
"149","Other",2019-06-01,24.0804044117647
"150","Other",2019-07-01,26.3498381877023
"151","Other",2019-08-01,27.8152588555858
"152","Other",2019-09-01,18.8264157706093
"153","Other",2019-10-01,26.9002469135802
"154","Other",2019-11-01,23.1895502645503
"155","Other",2019-12-01,22.7627737226277
"156","Other",2020-01-01,20.1627801724138
"157","Other",2020-02-01,18.839388185654
"158","Other",2020-03-01,19.3205568445476
"159","Other",2020-04-01,22.1390019193858
"160","Other",2020-05-01,18.1207021791768
"161","Other",2020-06-01,19.8281597222222
"162","Other",2020-07-01,14.1117935483871
"163","Other",2020-08-01,16.6688920863309
"164","Other",2020-09-01,17.334199192463
"165","Other",2020-10-01,21.2403121636168
"166","Other",2020-11-01,17.1933763188746
"167","Other",2020-12-01,18.3877476415094
"168","Other",2021-01-01,19.4627112676056
"169","Other",2021-02-01,19.5277968526466
"170","Other",2021-03-01,19.4408682008368
"171","Other",2021-04-01,19.2934166666667
"172","Other",2021-05-01,20.4233187134503
"173","Other",2021-06-01,22.984292508918
"174","Other",2021-07-01,18.8582878787879
"175","Other",2021-08-01,19.4350793650794
"176","Other",2021-09-01,22.5353416149068
"177","Other",2021-10-01,24.2681089258699
"178","Other",2021-11-01,22.3410889929742
"179","Other",2021-12-01,20.6112642045455
"180","Other",2022-01-01,29.822691588785
"181","Other",2022-02-01,22.7887310606061
"182","Other",2022-03-01,21.8435579937304
"183","Other",2022-04-01,20.5268253968254
"184","Other",2022-05-01,20.0937055837563
"185","Other",2022-06-01,21.7998577524893
"186","Other",2022-07-01,21.6889397905759
"187","Other",2022-08-01,18.6943088235294
"188","Other",2022-09-01,19.9356369982548
"189","Other",2022-10-01,21.019446935725
"190","Other",2022-11-01,23.767131661442
"191","Other",2022-12-01,22.822
"192","Other",2023-01-01,19.8200336700337
"193","Other",2023-02-01,23.2816509433962
"194","Other",2023-03-01,23.6411224489796
"195","Prefer not to say",2018-01-01,13.4066666666667
"196","Prefer not to say",2018-02-01,42.8355555555556
"197","Prefer not to say",2018-03-01,11.78875
"198","Prefer not to say",2018-04-01,31.3033333333333
"199","Prefer not to say",2018-05-01,17.218
"200","Prefer not to say",2018-06-01,12.733
"201","Prefer not to say",2018-07-01,17.5533333333333
"202","Prefer not to say",2018-08-01,18.7806666666667
"203","Prefer not to say",2018-09-01,13.725
"204","Prefer not to say",2018-10-01,17.6825
"205","Prefer not to say",2018-11-01,17.806
"206","Prefer not to say",2018-12-01,15.5745454545455
"207","Prefer not to say",2019-01-01,17.8466666666667
"208","Prefer not to say",2019-02-01,30.495
"209","Prefer not to say",2019-03-01,9.99
"210","Prefer not to say",2019-04-01,20.4025
"211","Prefer not to say",2019-05-01,19.535
"212","Prefer not to say",2019-06-01,25.452
"213","Prefer not to say",2019-07-01,15.9419444444444
"214","Prefer not to say",2019-08-01,18.680625
"215","Prefer not to say",2019-09-01,21.48
"216","Prefer not to say",2019-10-01,11.8996875
"217","Prefer not to say",2019-11-01,26.99
"218","Prefer not to say",2019-12-01,11.5228571428571
"219","Prefer not to say",2020-01-01,11.85
"220","Prefer not to say",2020-02-01,27.2558823529412
"221","Prefer not to say",2020-03-01,23.32
"222","Prefer not to say",2020-04-01,14.67
"223","Prefer not to say",2020-05-01,22.52625
"224","Prefer not to say",2020-06-01,8.91909090909091
